doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url
08hjr00ZZ,HJR ZZ of 2008,NA,NA,2007-2008,HJR,Constitutional amendments,state,"Constitutional amendments; state; Michigan natural resources trust fund; increase allowable annual expenditures and authorize bonds. Amends sec. 35, art. IX of the state constitution.Last Action: printed bill filed 04/23/2008",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2008-HJR-ZZ
08hjr0AAA,HJR AAA of 2008,NA,NA,2007-2008,HJR,Income tax,rate,"Income tax; rate; graduated state income tax; provide for. Amends sec. 7, art. IX of the state constitution.Last Action: printed joint resolution filed 04/25/2008",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2008-HJR-AAA
08hjr0BBB,HJR BBB of 2008,NA,NA,2007-2008,HJR,Public employees and officers,state,"Public employees and officers; state; chief administrative officer; create. Amends sec. 1, art. V of the state constitution.Last Action: printed joint resolution filed 05/08/2008",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2008-HJR-BBB
08hjr0CCC,HJR CCC of 2008,NA,NA,2007-2008,HJR,Appropriations,school aid,"Appropriations; school aid; requirement for presentation of certain budgets by a certain date of each fiscal year; establish. Amends sec. 31, art. IV of the state constitution.Last Action: printed joint resolution filed 05/23/2008",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2008-HJR-CCC
08hjr0DDD,HJR DDD of 2008,NA,NA,2007-2008,HJR,Property tax,assessments,"Property tax; assessments; calculation of taxable value; revise. Amends sec. 3, art. IX of the state constitution.Last Action: printed joint resolution filed 06/26/2008",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2008-HJR-DDD
08hjr0EEE,HJR EEE of 2008,NA,NA,2007-2008,HJR,Legislature,legislators,"Legislature; legislators; salary and health care for legislators; revise and repeal term limits for legislators. Amends sec. 12, art. IV & repeals sec. 54, art. IV of the state constitution.Last Action: printed joint resolution filed 07/17/2008",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2008-HJR-EEE
08hjr0FFF,HJR FFF of 2008,NA,NA,2007-2008,HJR,Legislature,legislators,"Legislature; legislators; term limits; repeal. Repeals sec. 54, art. IV of the state constitution.Last Action: printed joint resolution filed 07/24/2008",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2008-HJR-FFF
08hjr0GGG,HJR GGG of 2008,NA,NA,2007-2008,HJR,Transportation,motor fuel tax,"Transportation; motor fuel tax; allocation of gas tax; modify and earmark for roads. Amends sec. 9, art. IX of the state constitution.Last Action: printed joint resolution filed 07/24/2008",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2008-HJR-GGG
08hjr0HHH,HJR HHH of 2008,NA,NA,2007-2008,HJR,Sales tax,collections,"Sales tax; collections; local option for a sales tax increase; allow, and earmark revenue into a transportation fund. Amends sec. 8, art. IX of the state constitution.Last Action: notice given to discharge committee",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2008-HJR-HHH
08hjr0III,HJR III of 2008,NA,NA,2007-2008,HJR,Property tax,assessments,"Property tax; assessments; limitation on taxable value based on change in SEV; amend constitution to provide for. Amends sec. 3, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS AND REFORM",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2008-HJR-III
08hjr0JJJ,HJR JJJ of 2008,NA,NA,2007-2008,HJR,NA,NA,"State agencies (existing); generally; implementation of rules within state departments; require JCAR approval. Amends sec. 37, art. IV of the state constitution.Last Action: printed joint resolution filed 07/24/2008",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2008-HJR-JJJ
08hjr0KKK,HJR KKK of 2008,NA,NA,2007-2008,HJR,Labor,civil service employment,Labor; civil service employment; limitation on state from authorizing pay increases for classes of state employees under certain circumstances; provide for. Amends sec. 5 of art. XI of the state constitution.Last Action: printed joint resolution filed 09/11/2008,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2008-HJR-KKK
08hjr0LLL,HJR LLL of 2008,NA,NA,2007-2008,HJR,Higher education,tuition,"Higher education; tuition; in-state tuition rates of state universities; limit increases based on CPI in state constitution. Amends secs. 5 & 6, art. VIII & adds sec. 10 to art. VIII of the state constitution.Last Action: printed joint resolution filed 09/11/2008",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2008-HJR-LLL
