doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url,is_current_session
22hb5847,HB 5847 of 2022,NA,NA,2021-2022,HB,Education,public school academies,"Education: public school academies; requirements for issuance of contract, provisions concerning oversight, and management contracts; revise. Amends secs. 502, 503, 507, 522, 523, 528, 552, 553 & 561 of 1976 PA 451 (MCL 380.502 et seq.).Last Action: bill electronically reproduced 02/24/2022",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5847,FALSE
22hb5848,HB 5848 of 2022,NA,NA,2021-2022,HB,Education,public school academies,Education: public school academies; notification to public school academy if they are currently being operated by an educational maintenance organization that is experiencing financial distress; require. Amends secs. 1219 & 1220 of 1976 PA 451 (MCL 380.1219 & 380.1220).Last Action: bill electronically reproduced 02/24/2022,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5848,FALSE
22hb5849,HB 5849 of 2022,NA,NA,2021-2022,HB,Civil rights,public records,Civil rights: public records; education management organizations; subject to freedom of information act requests. Amends sec. 2 of 1976 PA 442 (MCL 15.232).Last Action: bill electronically reproduced 02/24/2022,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5849,FALSE
22hb5850,HB 5850 of 2022,NA,NA,2021-2022,HB,Education,public school academies,"Education: public school academies; requirements and duties of authorizing body; revise. Amends secs. 502, 522, 552 & 1311d of 1976 PA 451 (MCL 380.502 et seq.).Last Action: bill electronically reproduced 02/24/2022",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5850,FALSE
22hb5851,HB 5851 of 2022,NA,NA,2021-2022,HB,Education,public school academies,"Education: public school academies; additional requirements for oversight of public school academies by authorizing bodies; provide for. Amends secs. 507, 528 & 561 of 1976 PA 451 (MCL 380.507 et seq.).Last Action: bill electronically reproduced 02/24/2022",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5851,FALSE
22hb5852,HB 5852 of 2022,NA,NA,2021-2022,HB,Education,board members,Education: board members; monthly board meetings for all public schools; require. Amends sec. 1201 of 1976 PA 451 (MCL 380.1201).Last Action: bill electronically reproduced 02/24/2022,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5852,FALSE
22hb5853,HB 5853 of 2022,NA,NA,2021-2022,HB,School aid,other,School aid: other; certain disclosure requirements for public schools; modify. Amends sec. 18 of 1979 PA 94 (MCL 388.1618).Last Action: bill electronically reproduced 02/24/2022,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5853,FALSE
22hb5854,HB 5854 of 2022,NA,NA,2021-2022,HB,Education,public school academies,"Education: public school academies; charter school real estate transactions with certain entities; restrict. Amends secs. 504a, 525, 557 & 1311h of 1976 PA 451 (MCL 380.504a et seq.).Last Action: bill electronically reproduced 02/24/2022",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5854,FALSE
22hb5855,HB 5855 of 2022,NA,NA,2021-2022,HB,Education,public school academies,"Education: public school academies; contracts with educational management organization; require certain provisions. Amends secs. 503, 507, 523, 528, 553, 561, 1311e & 1311l of 1976 PA 451 (MCL 380.503 et seq.).Last Action: bill electronically reproduced 02/24/2022",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5855,FALSE
22hb5856,HB 5856 of 2022,NA,NA,2021-2022,HB,Education,public school academies,"Education: public school academies; certain provisions in charter school contracts; require. Amends secs. 503, 523, & 553 of 1976 PA 451 (MCL 380.503 et seq.).Last Action: bill electronically reproduced 02/24/2022",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5856,FALSE
